      151	2014-10-01 06:40:53	1	5	1	0
        1	2014-10-01 06:52:36	1	5	2	0
      116	2014-10-01 07:08:19	1	5	1	0
      116	2014-10-01 07:08:20	1	5	1	0
       42	2014-10-01 07:27:39	1	5	1	0
       17	2014-10-01 07:29:59	1	5	1	0
       52	2014-10-01 07:40:40	1	5	1	0
       10	2014-10-01 07:42:10	1	5	1	0
       59	2014-10-01 07:52:15	1	5	1	0
      152	2014-10-01 07:53:58	1	5	1	0
      154	2014-10-01 07:54:00	1	5	1	0
       51	2014-10-01 08:04:35	1	5	1	0
       57	2014-10-01 08:06:32	1	5	2	0
       92	2014-10-01 08:06:43	1	5	1	0
       82	2014-10-01 08:08:20	1	5	1	0
       31	2014-10-01 08:10:35	1	4	1	0
       33	2014-10-01 08:13:14	1	4	1	0
       60	2014-10-01 08:24:52	1	4	1	0
       54	2014-10-01 08:25:30	1	4	1	0
       54	2014-10-01 08:25:31	1	4	1	0
       54	2014-10-01 08:25:51	1	5	1	0
        1	2014-10-01 08:42:40	1	5	2	0
       61	2014-10-01 08:45:55	1	5	1	0
       61	2014-10-01 08:45:56	1	5	1	0
      115	2014-10-01 08:47:08	1	4	1	0
       74	2014-10-01 08:56:50	1	4	1	0
      116	2014-10-01 11:15:43	1	5	1	0
       31	2014-10-01 12:01:08	1	5	1	0
       82	2014-10-01 12:06:14	1	5	1	0
      115	2014-10-01 12:11:07	1	5	1	0
        1	2014-10-01 12:13:02	1	5	2	0
       83	2014-10-01 12:13:34	1	5	1	0
      154	2014-10-01 12:14:24	1	5	1	0
      154	2014-10-01 12:15:21	1	5	1	0
      152	2014-10-01 12:15:23	1	5	1	0
       10	2014-10-01 12:17:27	1	5	8	0
       17	2014-10-01 12:18:17	1	5	1	0
       17	2014-10-01 12:18:18	1	5	1	0
       33	2014-10-01 12:21:58	1	5	1	0
       10	2014-10-01 13:42:03	1	0	1	0
       31	2014-10-01 13:46:01	1	0	1	0
       17	2014-10-01 13:57:54	1	0	1	0
      111	2014-10-01 14:00:18	1	0	1	0
        1	2014-10-01 14:01:47	1	0	2	0
      154	2014-10-01 14:05:46	1	0	1	0
       33	2014-10-01 14:13:01	1	0	1	0
       83	2014-10-01 14:24:21	1	0	1	0
       82	2014-10-01 14:36:20	1	0	1	0
       72	2014-10-01 15:41:25	1	0	8	0
       74	2014-10-01 16:12:04	1	0	1	0
      111	2014-10-01 17:56:53	1	5	1	0
       10	2014-10-01 18:03:26	1	5	1	0
      154	2014-10-01 18:06:32	1	5	1	0
        1	2014-10-01 18:07:38	1	5	2	0
       17	2014-10-01 18:11:45	1	5	1	0
       31	2014-10-01 18:14:22	1	5	1	0
       82	2014-10-01 18:40:04	1	5	1	0
       33	2014-10-01 19:45:06	1	5	1	0
        1	2014-10-01 21:17:01	1	5	2	0
       83	2014-10-01 21:35:00	1	5	1	0
       72	2014-10-01 23:12:12	1	0	8	0
      151	2014-10-02 06:26:35	1	0	1	0
        1	2014-10-02 06:28:06	1	0	2	0
      116	2014-10-02 07:18:14	1	5	1	0
      116	2014-10-02 07:18:19	1	5	1	0
        1	2014-10-02 07:35:18	1	5	2	0
       10	2014-10-02 07:37:53	1	5	1	0
       42	2014-10-02 07:43:48	1	5	1	0
      154	2014-10-02 07:44:22	1	4	1	0
      152	2014-10-02 07:44:26	1	4	1	0
       17	2014-10-02 07:45:12	1	4	1	0
       17	2014-10-02 07:45:13	1	4	1	0
       17	2014-10-02 07:45:14	1	4	1	0
       83	2014-10-02 07:46:56	1	4	1	0
       56	2014-10-02 07:49:35	1	4	1	0
       58	2014-10-02 07:53:26	1	4	1	0
       93	2014-10-02 08:02:55	1	4	1	0
       82	2014-10-02 08:03:43	1	4	1	0
       51	2014-10-02 08:09:28	1	4	1	0
       53	2014-10-02 08:09:56	1	4	2	0
       31	2014-10-02 08:12:51	1	4	1	0
       33	2014-10-02 08:14:23	1	4	1	0
       72	2014-10-02 08:29:27	1	4	8	0
       52	2014-10-02 08:42:55	1	5	1	0
       59	2014-10-02 08:43:07	1	5	1	0
       57	2014-10-02 09:02:07	1	5	2	0
      115	2014-10-02 09:19:45	1	5	1	0
      115	2014-10-02 09:19:48	1	5	1	0
      116	2014-10-02 11:49:25	1	5	1	0
